"","Date","B.1.617.2_Rt","B.1.617.2_rtlowci","B.1.617.2_rtupci","AY.3_Rt","AY.3_rtlowci","AY.3_rtupci","AY.25_Rt","AY.25_rtlowci","AY.25_rtupci","AY.39_Rt","AY.39_rtlowci","AY.39_rtupci","AY.44_Rt","AY.44_rtlowci","AY.44_rtupci"
"27",2021-08-22,1.20118671303018,1.11306719994786,1.30412839711205,1.24653609090101,1.14743426702869,1.34566311105987,1.49131410491195,1.24800719481187,1.76066225300837,1.46413372096164,1.19730252165344,1.76624986352103,1.47267844324916,1.23533409130182,1.74666005036268
"28",2021-08-23,1.19400069828563,1.1092244528679,1.29209008187684,1.25903194007449,1.15453486453914,1.36434259921812,1.45491943821687,1.2303509879959,1.70454333878421,1.45916139435983,1.1996083503528,1.74659994640358,1.421540051973,1.21068269733541,1.66284919503696
"29",2021-08-24,1.18723547821201,1.1055399223882,1.28099277095298,1.27002280974746,1.15992793721265,1.38171074776912,1.42018233111352,1.21400368229619,1.64950778724777,1.45779271867192,1.20489437231342,1.73631054901195,1.37303935039206,1.18744205430978,1.58393531921785
"30",2021-08-25,1.18069726980957,1.10222669993533,1.27075592417067,1.27830095534938,1.16340690179723,1.39527732155105,1.38794022552517,1.19891913104229,1.59541715658533,1.45765229603911,1.20780050706378,1.73232642158926,1.32788888730382,1.16589081002492,1.51135612920932
"31",2021-08-26,1.17431834515913,1.09890498451246,1.26082874254625,1.2837650698405,1.16556930399538,1.40547902849079,1.35861209690041,1.18515308791317,1.54680168584686,1.4601017940985,1.21148544980118,1.73205165018171,1.28628368970089,1.14511363947526,1.4452997170225
"32",2021-08-27,1.16805075740535,1.09547045286961,1.25114075003789,1.28615854368397,1.16600477788835,1.41166940423156,1.33237811372349,1.17317428431934,1.50374312803695,1.45998874871059,1.21469360627999,1.72623434956718,1.24924884494915,1.12667297067924,1.38676541460187
"33",2021-08-28,1.16179910565912,1.09193220325546,1.24164154636071,1.28486930052901,1.16403993910182,1.41254590796077,1.3089145422741,1.16262760487645,1.4654407470956,1.44887118046299,1.20913634264734,1.70866810549735,1.21833169779945,1.11202552920942,1.33742930658834
"34",2021-08-29,1.15533779448881,1.08828569923916,1.23187645933653,1.27891482740965,1.15943730965272,1.40682280016123,1.2876239057379,1.15280826182287,1.43098321282388,1.42257234671072,1.19103749287785,1.67605136950667,1.1924733451031,1.09982074597025,1.29628064230365
"35",2021-08-30,1.14858532997373,1.0844653466026,1.22186414344017,1.26943521958921,1.15281253851715,1.39586306111109,1.26750904131697,1.142856567997,1.39875894152721,1.39104078780002,1.17365806473401,1.63174761828014,1.16996231587939,1.08837435863165,1.26132956629805
"36",2021-08-31,1.14147212897136,1.08033276067619,1.21155624604706,1.2578024437019,1.14491939511193,1.38111988378597,1.24819935698799,1.13281304416166,1.36848530718597,1.35420522286403,1.15332086304192,1.58044375840876,1.14946434808483,1.07728673199122,1.23017644260593
