"","Date","B.1.617.2_Rt","B.1.617.2_rtlowci","B.1.617.2_rtupci","AY.4_Rt","AY.4_rtlowci","AY.4_rtupci","AY.3_Rt","AY.3_rtlowci","AY.3_rtupci","AY.25_Rt","AY.25_rtlowci","AY.25_rtupci","AY.33_Rt","AY.33_rtlowci","AY.33_rtupci","AY.26_Rt","AY.26_rtlowci","AY.26_rtupci"
"17",2021-08-12,1.26859979818822,1.14941855209936,1.40924411356365,1.19766416902159,1.09026714746294,1.32417521446159,1.12561395864544,1.0666353296106,1.18898938312484,1.48956732898104,1.2448906780016,1.77263979144149,1.12742470186169,1.0673616125353,1.19225359730359,1.51224933393169,1.23694383075507,1.83679483241792
"18",2021-08-13,1.26120640318302,1.14527578427035,1.3979587014853,1.16131040830662,1.06934632702963,1.27003408559185,1.12738431527488,1.06893510902226,1.189397290179,1.47961158397226,1.24100548163592,1.75440406782422,1.1288806100551,1.06979017927289,1.19259393947061,1.48131322079151,1.22415275771718,1.78234817025077
"19",2021-08-14,1.25294933014716,1.14041256048801,1.38423346551327,1.13157432523629,1.05308743826765,1.22423056168347,1.13182139733253,1.07318861555295,1.19336270226842,1.46910237432426,1.23667491239513,1.73672265617458,1.13330183115444,1.07394795287698,1.19652200126547,1.45290256536723,1.21190931120765,1.73274397294314
"20",2021-08-15,1.24401014879483,1.13559605325366,1.36996537340096,1.10875802252511,1.04116009458155,1.1877648235748,1.138947353358,1.07899772908439,1.20128179293391,1.458362242706,1.23199281050378,1.71940747651362,1.1405851261118,1.07957104024444,1.20397192558859,1.42648723479659,1.20064197188105,1.68763842534981
"21",2021-08-16,1.23497247312704,1.13114165228776,1.35732954825623,1.0917315442077,1.03173888592255,1.16020492387863,1.14798452536663,1.08563482469555,1.21227391636977,1.44827585334529,1.2275247925838,1.70181282025495,1.1496820643188,1.08620803947675,1.21459125024403,1.40238959956227,1.19070681434783,1.64626027234033
"22",2021-08-17,1.225877552438,1.12550467286016,1.34327633907028,1.07908598800081,1.02384251644526,1.13960255041964,1.15705894319104,1.09226725263105,1.22379037109124,1.43895197142334,1.22327384858257,1.68386414601886,1.15893010454497,1.09360079848619,1.22787560164707,1.38238315330846,1.18265399326763,1.60855871763841
"23",2021-08-18,1.21727164894023,1.12106680621915,1.32907064030429,1.06827023531137,1.01660742267648,1.1231591909933,1.16906336364815,1.10055550185516,1.23901724427756,1.42922715534457,1.21919521428285,1.66974487720154,1.17103013825028,1.10217755547935,1.24364199189078,1.36509940462017,1.17745511194584,1.57589365766066
"24",2021-08-19,1.20923071843823,1.11716806929106,1.31638785787872,1.05804469538349,1.00942174409455,1.10940187555434,1.18331841135553,1.11051071010027,1.25773667717239,1.42064912612717,1.21606823496747,1.65251429815543,1.18536480459167,1.11196588649589,1.26181385585175,1.35022227991398,1.17207720868365,1.54955197265993
"25",2021-08-20,1.20186650393577,1.11371983145285,1.30460875030398,1.04989083137064,1.00374484062844,1.09891027474653,1.19885979496978,1.12026966795704,1.27839719749352,1.41118877170428,1.21146005937216,1.63657597902439,1.20119763901923,1.12247866178132,1.28245723803206,1.33783800970876,1.16694191547285,1.52822313881135
"26",2021-08-21,1.19528762367555,1.11033058719759,1.29384257059835,1.04618182281027,1.00166979464256,1.09330086864805,1.21487550423014,1.12944422171079,1.30066362598689,1.39869708102122,1.20429994418186,1.61914297272007,1.21743815089209,1.13297998236563,1.30530067829505,1.32957130752745,1.16417461834362,1.51228644960312
"27",2021-08-22,1.18953523288918,1.10698273461572,1.28434550508319,1.04841111158326,1.00457158359029,1.09382539711957,1.23061384277926,1.13848071649569,1.32379613416516,1.38254759159801,1.19512586009075,1.59578755475405,1.23322319744834,1.14281535111835,1.32980780510825,1.3263494825858,1.16475977786131,1.5024370918209
"28",2021-08-23,1.18449592277666,1.10495565757899,1.27580536423956,1.05490355318655,1.01118500999731,1.0998926762472,1.24587672775341,1.14809353517934,1.34556675737578,1.36580630665943,1.18691109234164,1.56872648904693,1.249000883742,1.15174762336166,1.35432218571958,1.32561296959612,1.16600084647639,1.49788631234709
"29",2021-08-24,1.18009113268692,1.10279661947558,1.26824788004325,1.06581615166179,1.021341575882,1.11151714632505,1.26037823732385,1.15568647001068,1.36722419435164,1.34856174221879,1.17861951356101,1.54355573951747,1.26387774525513,1.15936066231976,1.37614170610112,1.32709167893101,1.1688110547121,1.49700412123072
